Designator,Mid X,Mid Y,Layer,Rotation
C1,22.6,87.2,T,180
C2,34.1,86.3,T,90
C3,35.3,86.3,T,90
C4,39.9,86.3,T,90
C5,44.7,82.5,T,0
C6,30.3,78.9,T,180
C7,44.7,78,T,0
C8,30.3,77.5,T,180
C9,44.7,75.6,T,0
C10,39.1,73.7,T,270
C11,42.1,73.7,T,270
C12,15.6,57.3,T,0
C13,20.5,57.3,T,0
C14,59.2,50.1,T,0
C15,89.4,49.2,T,180
C16,15.6,49,T,0
C17,20.5,49,T,0
C18,89.4,46.6,T,180
C19,20.5,44.6,T,0
C20,89.4,44,T,180
C21,20.5,42.6,T,0
C22,66.1,41.4,T,180
C23,20.5,40.6,T,0
C24,20.5,38.6,T,0
C25,59.2,37.8,T,0
C26,21.4,34.9,T,0
C27,19.3,33.7,T,0
C28,38,32.2,T,180
C29,66.1,29.1,T,180
C30,59.2,25.7,T,0
C31,14.2,24.8,T,180
C32,15.7,22.9,T,180
C33,15.7,20.3,T,180
C34,66.1,17,T,180
C35,56.9,7.1,T,270
D1,10,96.7,T,270
D2,25.1,96.7,T,270
D3,76.8,50.4,T,0
D4,80.4,50.4,T,0
D5,84,50.4,T,0
D6,88.8,50.4,T,180
D7,54.4,50.1,T,180
D8,76.8,49.2,T,0
D9,80.4,49.2,T,0
D10,84,49.2,T,0
D11,88.8,47.8,T,180
D12,88.8,45.2,T,180
D13,54.4,37.8,T,180
D14,12.5,28.8,T,90
D15,54.4,25.7,T,180
D16,21.8,20.3,T,180
DC1,14.182,8.1203,T,90
F1,15.7,17.7,T,0
J1,38.2,93.1,T,180
J2,96.8,40.3,T,90
J3,86.1,28.0146,T,0
J4,28.2,9.6,T,180
J5,34.7,56.7,T,270
J6,76.8,57.7,T,0
L1,40.6,72.9,T,90
L2,12.5,39.4,T,90
MH1,3.6,96.4,T,0
MH2,96.4,96.4,T,0
MH3,69.9,46.3,T,0
MH4,69.9,34,T,0
MH5,69.9,21.9,T,0
MH6,3.6,3.6,T,0
MH7,96.4,3.6,T,0
Q1,60.7532,46.3,T,270
Q2,60.7532,34,T,270
Q3,60.7532,21.9,T,270
R1,9.4,93.8,T,270
R2,10.6,93.8,T,270
R3,24.5,93.8,T,90
R4,25.7,93.8,T,90
R5,14.3,90,T,270
R6,20.8,90,T,90
R7,41.1,86.3,T,270
R8,22.6,86,T,180
R9,22.6,84.8,T,180
R10,44.7,76.8,T,180
R11,30.3,76.3,T,0
R12,30.3,75.1,T,180
R13,14.6,55.7,T,0
R14,16.6,55.7,T,0
R15,19.5,55.7,T,0
R16,21.5,55.7,T,0
R17,59.2,53.1,T,0
R18,91.5,50.4,T,0
R19,91.5,49.2,T,180
R20,76.8,48,T,180
R21,80.4,48,T,180
R22,84,48,T,180
R23,91.5,47.8,T,0
R24,55.9,47.6,T,90
R25,54.2,47.1,T,0
R26,76.8,46.8,T,180
R27,80.4,46.8,T,180
R28,84,46.8,T,180
R29,91.5,46.6,T,180
R30,51.7,46.4,T,0
R31,54.2,45.8,T,0
R32,51.7,45.2,T,180
R33,91.5,45.2,T,0
R34,55.9,45,T,270
R35,54.2,44.5,T,0
R36,91.5,44,T,180
R37,51.7,41.4,T,0
R38,57.7,41.4,T,0
R39,69,41.4,T,0
R40,19.3,36.4,T,0
R41,21.4,36.4,T,0
R42,55.9,35.2,T,90
R43,19.3,34.9,T,180
R44,54.2,34.8,T,0
R45,51.7,34.1,T,0
R46,54.2,33.5,T,0
R47,51.7,32.9,T,180
R48,55.9,32.7,T,270
R49,54.2,32.2,T,0
R50,51.7,29.1,T,0
R51,57.7,29.1,T,0
R52,69,29.1,T,0
R53,21.5,23.7,T,180
R54,55.9,23.2,T,90
R55,54.2,22.7,T,0
R56,19.5,22.4,T,180
R57,21.5,22.4,T,180
R58,51.7,22,T,0
R59,54.2,21.4,T,0
R60,51.7,20.8,T,180
R61,55.9,20.6,T,270
R62,54.2,20.1,T,0
R63,51.7,17,T,0
R64,57.7,17,T,0
R65,69,17,T,0
RP1,12,67,T,90
SW1,1.5,87.5,T,90
SW2,1.5,77.8,T,90
TP1,14.6,59,T,270
TP2,19.5,59,T,270
TP3,19.5,46.6,T,270
U1,17.6,90,T,90
U2,17.6,86,T,270
U3,38.1,80.1,T,270
U4,15.6,52.8,T,0
U5,20.5,52.8,T,0
U6,44.2,34,T,270
U7,18.1,28.7,T,0
USB1,17.6,92.9,T,180
X1,30.3,81.6,T,270
