Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"GPIO_BEMF","OffPage","02 GATE","2","MAIN","D18.2,D6.2,D8.2","1140","750","2B","{3}"
"GPIO_BEMF","OffPage","03 G431","3","MAIN","U8.43","510","120","4D","{2}"
"A+/H1","OffPage","02 GATE","2","MAIN","C46.1,D20.1,R24.1,R26.2","1530","830","1B","{3}"
"A+/H1","OffPage","03 G431","3","MAIN","U8.44","510","110","4D","{2}"
"B+/H2","OffPage","02 GATE","2","MAIN","C10.1,D21.1,R104.1,R105.2","1530","850","1B","{3}"
"B+/H2","OffPage","03 G431","3","MAIN","U8.45","510","100","4D","{2}"
"Z+/H3","OffPage","02 GATE","2","MAIN","C12.1,D10.1,R35.1,R37.2","1530","870","1A","{3}"
"Z+/H3","OffPage","03 G431","3","MAIN","U8.46","510","90","4D","{2}"
"TIM1_CH1N","OffPage","02 GATE","2","MAIN","U5.4","200","130","5D","{3}"
"TIM1_CH1N","OffPage","03 G431","3","MAIN","U8.2","110","80","5D","{2}"
"VBUS","OffPage","02 GATE","2","MAIN","C11.1,R106.1,R107.2","1310","130","1D","{3}"
"VBUS","OffPage","03 G431","3","MAIN","C26.2,U8.8","140","140","5D","{2}"
"CURR_FDBK1_OPAMP+","OffPage","02 GATE","2","MAIN","R109.1,R112.1,R115.2","180","610","5B","{3}"
"CURR_FDBK1_OPAMP+","OffPage","03 G431","3","MAIN","U8.9","140","150","5D","{2}"
"VSHUNT1-","OffPage","02 GATE","2","MAIN","R100.1","560","290","4C","{2,3}"
"VSHUNT1-","OffPage","02 GATE","2","MAIN","R100.1","360","730","4B","{2,3}"
"CURR_FDBK1_OPAMP-","OffPage","02 GATE","2","MAIN","R100.1","180","730","5B","{3}"
"CURR_FDBK1_OPAMP-","OffPage","03 G431","3","MAIN","U8.11","140","170","5D","{2}"
"BEMF1","OffPage","02 GATE","2","MAIN","D5.1,R102.1,R103.2","1140","800","2B","{3}"
"BEMF1","OffPage","03 G431","3","MAIN","U8.12","140","180","5D","{2}"
"VSHUNT2-","OffPage","02 GATE","2","MAIN","R99.1","360","750","4B","{2,3}"
"VSHUNT2-","OffPage","02 GATE","2","MAIN","R99.1","560","540","4C","{2,3}"
"CURR_FDBK2_OPAMP-","OffPage","02 GATE","2","MAIN","R99.1","180","750","5B","{3}"
"CURR_FDBK2_OPAMP-","OffPage","03 G431","3","MAIN","U8.13","140","200","5D","{2}"
"CURR_FDBK3_OPAMP+","OffPage","02 GATE","2","MAIN","R111.1,R114.1,R117.2","180","650","5B","{3}"
"CURR_FDBK3_OPAMP+","OffPage","03 G431","3","MAIN","U8.17","140","240","5D","{2}"
"VSHUNT3-","OffPage","02 GATE","2","MAIN","R101.1","360","770","4B","{2,3}"
"VSHUNT3-","OffPage","02 GATE","2","MAIN","R101.1","560","780","4B","{2,3}"
"CURR_FDBK3_OPAMP-","OffPage","02 GATE","2","MAIN","R101.1","180","770","5B","{3}"
"CURR_FDBK3_OPAMP-","OffPage","03 G431","3","MAIN","U8.19","140","260","5D","{2}"
"BEMF2","OffPage","02 GATE","2","MAIN","D19.1,R30.2,R31.1","1140","890","2A","{3}"
"BEMF2","OffPage","03 G431","3","MAIN","U8.16","140","230","5D","{2}"
"BEMF3","OffPage","02 GATE","2","MAIN","D3.1,R28.2,R29.1","1140","980","2A","{3}"
"BEMF3","OffPage","03 G431","3","MAIN","U8.24","140","310","5C","{2}"
"TIM1_CH3N","OffPage","02 GATE","2","MAIN","U5.6","200","150","5D","{3}"
"TIM1_CH3N","OffPage","03 G431","3","MAIN","U8.28","510","280","4C","{2}"
"TIM1_CH1","OffPage","02 GATE","2","MAIN","U5.1","200","100","5D","{3}"
"TIM1_CH1","OffPage","03 G431","3","MAIN","U8.30","510","260","4D","{2}"
"TIM1_CH2","OffPage","02 GATE","2","MAIN","U5.2","200","110","5D","{3}"
"TIM1_CH2","OffPage","03 G431","3","MAIN","U8.31","510","250","4D","{2}"
"TIM1_CH3","OffPage","02 GATE","2","MAIN","U5.3","200","120","5D","{3}"
"TIM1_CH3","OffPage","03 G431","3","MAIN","U8.32","510","240","4D","{2}"
"TIM1_CH2N","OffPage","02 GATE","2","MAIN","U5.5","200","140","5D","{3}"
"TIM1_CH2N","OffPage","03 G431","3","MAIN","U8.34","510","220","4D","{2}"
"VSHUNT1+","OffPage","02 GATE","2","MAIN","Q1.3,R112.2,R72.1,R74.2","360","610","4B","{2}"
"VSHUNT1+","OffPage","02 GATE","2","MAIN","Q1.3,R112.2,R72.1,R74.2","560","240","4D","{2}"
"VSHUNT2+","OffPage","02 GATE","2","MAIN","Q2.3,R113.2,R83.1,R89.2","560","490","4C","{2}"
"VSHUNT2+","OffPage","02 GATE","2","MAIN","Q2.3,R113.2,R83.1,R89.2","360","630","4B","{2}"
"VSHUNT3+","OffPage","02 GATE","2","MAIN","Q3.3,R114.2,R94.1,R95.2","560","730","4B","{2}"
"VSHUNT3+","OffPage","02 GATE","2","MAIN","Q3.3,R114.2,R94.1,R95.2","360","650","4B","{2}"
"CURR_FDBK2_OPAMP+","OffPage","02 GATE","2","MAIN","R110.1,R113.1,R116.2","180","630","5B","{3}"
"CURR_FDBK2_OPAMP+","OffPage","03 G431","3","MAIN","U8.15","140","220","5D","{2}"
