Designator,Mid X,Mid Y,Layer,Rotation
C1,16.8,45.4,T,0
C2,28,45.4,T,0
C3,11.3,45.2,T,0
C4,16.8,43.4,T,0
C5,3.2,42.6,T,180
C6,11.3,42.6,T,0
C7,27.7,42.3,T,90
C8,32,42.3,T,90
C9,16.8,41.3,T,0
C10,39.2,37.9,T,90
C11,37.5,32.5,T,0
C12,37.5,31,T,0
C13,50,23,T,0
C14,40.4,20.5,T,0
D1,97.7,50.6,T,270
D2,79.6,43,T,270
D3,24.5,18.3806,T,180
D4,20.4,18.3806,T,180
D5,16.3,18.3806,T,180
D6,24.5,17.1,T,180
D7,20.4,17.1,T,180
D8,16.3,17.1,T,180
DC1,92,43.1,T,180
F1,82.5,43,T,270
J1,51.3,57.27,T,180
J2,65.2,51.5,T,0
J3,13.9,30.5,T,180
J4,51.3,6.27,T,180
MH1,3.6,57.4,T,0
MH2,96.4,57.4,T,0
MH3,3.6,3.6,T,0
MH4,96.4,3.6,T,0
R1,96.3,50.6,T,90
R2,17.1,48.998,T,90
R3,18.3,48.998,T,90
R4,19.5,48.998,T,90
R5,20.8,48.998,T,90
R6,22.1,48.998,T,90
R7,23.3,48.998,T,90
R8,29.7,48.998,T,90
R9,32.3,48.998,T,90
R10,33.5,48.998,T,90
R11,37.4,48.998,T,90
R12,38.6,48.998,T,90
R13,34.8,48.998,T,90
R14,45,48.998,T,90
R15,50,48.998,T,90
R16,48.8,48.998,T,90
R17,14.7,45.4,T,0
R18,10.9,43.9,T,0
R19,14.7,43.4,T,0
R20,14.7,41.3,T,0
R21,28.4,32.7,T,270
R22,32.6,32.7,T,270
R23,49.7,27.3,T,0
R24,49.7,25.5,T,0
R25,37.5,23,T,0
R26,37.5,21.8,T,180
R27,32.6,21.8,T,90
R28,24.2,19.6,T,0
R29,26.2,19.6,T,0
R30,20.1,19.6,T,0
R31,22.1,19.6,T,0
R32,16,19.6,T,0
R33,18,19.6,T,0
R34,17.1,11.5,T,270
R35,18.3,11.5,T,270
R36,19.6,11.5,T,270
R37,50,11.5,T,270
TP1,37.5,24.4,T,90
U1,7.2,43.7,T,90
U2,22.398,43.4,T,270
U3,28.4,39.3,T,180
U4,32.6,39.3,T,180
U5,43.1,27.7,T,270
U6,37.5,19.8,T,90
