Designator,Mid X,Mid Y,Layer,Rotation
C1,10.3,45.5,T,0
C2,21.5,45.5,T,0
C4,10.3,43.5,T,0
C7,50.7,34.5,T,180
C8,50.7,46.4,T,0
C9,10.3,41.4,T,0
C10,68.7,27.25,T,270
C12,79.7,53.4351,T,90
C13,79.7,57.7,T,90
C14,50.7,22.6,T,180
C16,88.2,53.4351,T,90
C17,88.2,57.7,T,90
C19,62.3,45.5397,T,90
C21,58.1,45.5397,T,90
C22,23.7,14.8,T,0
C23,60.2,45.5397,T,90
C24,56,45.5397,T,90
C25,38.5,24.23,T,180
C26,65.6,46.6,T,90
C27,66.8,44.5397,T,90
C28,67.1,17.2,T,0
C29,38.5,12.635,T,180
C30,38.6,36.1,T,180
C31,75.6,39.1,T,270
C32,77.5,38.9,T,270
C33,80.4,38.9,T,270
C34,23.7,41.1,T,0
C36,23.7,29.6,T,0
C37,59,27.25,T,270
D1,97.7,50.6,T,270
D2,80.4,46.7,T,270
D3,17.2,18.2806,T,180
D4,13.1,18.2806,T,180
D5,9,18.2806,T,180
D6,17.2,17,T,180
D7,13.1,17,T,180
D8,9,17,T,180
D9,43.4,12.635,T,0
D13,43.4,24.265,T,0
D14,71.5,37.9,T,180
D15,43.5,36.135,T,0
DC1,92,43.1,T,180
F1,83.3,45.9,T,90
J1,51.3,57.27,T,180
J2,65.2,51.5,T,0
J3,13.9,30.5,T,180
J4,51.3,6.27,T,180
J5,57.7,6.27,T,0
L2,61.3,37.9,T,180
MH1,3.6,57.4,T,0
MH2,96.4,57.4,T,0
MH3,3.6,3.6,T,0
MH4,96.4,3.6,T,0
MH5,29.3104,16.5,T,0
MH6,29.3104,28.0812,T,180
MH7,29.3104,39.5715,T,180
Q1,38.5,16.3,T,90
Q2,38.5,28.0812,T,90
Q3,38.6,39.7715,T,90
R1,96.3,50.6,T,90
R2,38.6,48.998,T,90
R3,36.1,48.998,T,90
R5,41.1,48.998,T,90
R11,42.4,48.998,T,90
R12,43.7,48.998,T,90
R13,46.2,48.998,T,90
R14,45,48.998,T,90
R15,50,48.998,T,90
R16,48.8,48.998,T,90
R17,8.2,45.5,T,180
R19,8.2,43.5,T,180
R20,8.2,41.4,T,180
R21,41.3,32.9,T,180
R22,41.3,21,T,180
R24,43.3,15,T,270
R25,44.9,15.45,T,180
R27,41.3,44.6,T,180
R28,16.9,19.5,T,0
R29,18.9,19.5,T,0
R30,12.8,19.5,T,0
R31,14.8,19.5,T,0
R32,8.7,19.5,T,0
R33,10.7,19.5,T,0
R34,37.4,48.998,T,90
R35,34.8,48.998,T,90
R36,32.3,48.998,T,90
R38,44.9,18.05,T,180
R39,43.3,17.6,T,90
R40,23.7,16.3,T,0
R41,64.1,46.6,T,90
R43,43.3,26.8,T,270
R44,44.9,27.25,T,180
R48,43.3,29.4412,T,90
R49,44.9,29.8912,T,180
R52,23.7,28.0812,T,0
R53,77,46.3,T,270
R54,43.4,38.5,T,270
R55,45,38.95,T,180
R56,78.3,44.3,T,270
R57,78.3,46.3,T,270
R61,43.4,41,T,90
R62,45,41.45,T,180
R65,23.7,39.5715,T,0
R66,64.1,44.5397,T,90
R67,65.6,44.5397,T,270
R68,81.3,56.7,T,90
R69,81.3,52.4,T,90
R70,81.3,58.6961,T,90
R71,81.3,54.4,T,90
TP1,78,52.4,T,270
TP2,78,56.7,T,180
TP3,54,44.5397,T,0
U2,15.898,43.5,T,270
U3,47.8,33.8,T,90
U4,47.8,21.9,T,90
U5,84.5,57.7,T,90
U6,47.8,45.7,T,90
U7,60.48,15.7,T,90
U8,71.5,43.4505,T,90
U9,84.5,53.4351,T,90
