Designator,Mid X,Mid Y,Layer,Rotation
B1,55.2942,65.9,T,0
C1,9.6,70.3,T,270
C2,7.4,67,T,270
C3,9.3,67,T,270
C4,90.7,65.9,T,180
C5,111.2,64.4,T,90
C6,120.1,64.4,T,90
C7,129.9,64.4,T,90
C8,74.2,63.5,T,180
C9,62.3,57.3,T,270
C10,71,57.3,T,90
C11,75.9,52.8,T,180
C12,50.4,51.9,T,270
C13,99.7,46.1,T,270
C14,103.5,46.1,T,270
C15,107.3,46.1,T,270
C16,75.9,46,T,180
C17,57.1,44.4,T,0
C18,112.2,39.2,T,270
C19,115,39.2,T,90
C20,116.4,39.2,T,90
C21,60.1,38.6,T,90
C22,65.3,38.6,T,270
C23,68.9,38.6,T,90
C24,70.3,38.6,T,90
C25,128.9,38.1,T,270
C26,66.3,33.3,T,90
C27,67.6,33.3,T,270
C28,112.9,33.3,T,90
C29,116.5,33.3,T,90
C30,120.1,33.3,T,90
C31,109.5,26.1,T,90
C32,49.7,18.9,T,270
C33,51.7,18.9,T,270
C34,94.5,11.6,T,270
C35,115.5,11.6,T,270
C36,136.4,11.6,T,270
C37,61.8,11.5,T,90
C38,81.3,8.7,T,270
C39,83.9,8.7,T,270
C40,89.5,8.7,T,0
C41,102.3,8.7,T,270
C42,104.9,8.7,T,270
C43,110.5,8.7,T,0
C44,123.2,8.7,T,270
C45,125.8,8.7,T,270
C46,131.4,8.7,T,0
C47,93.6,5.3,T,270
C48,95.5,5.3,T,270
C49,97.4,5.3,T,270
C50,99.3,5.3,T,270
C51,114.6,5.3,T,270
C52,116.5,5.3,T,270
C53,118.4,5.3,T,270
C54,120.3,5.3,T,270
C55,135.5,5.3,T,270
C56,137.4,5.3,T,270
C57,139.3,5.3,T,270
C58,141.2,5.3,T,270
D1,57.4,87.7,T,90
D2,59,87.7,T,90
D3,60.6,87.7,T,90
D4,55.2942,65.9,T,0
D5,111.2,58.7,T,270
D6,120.1,58.7,T,270
D7,129.9,58.7,T,270
D8,83,4.1,T,0
D9,104,4.1,T,0
D10,124.9,4.1,T,0
D11,58.5,3.6,T,90
D12,67.7,2.4,T,270
DC1,28.7,5.9,T,90
F1,58.5,10.1,T,270
J1,75,84.6,T,180
J2,12.1,88.1,T,0
J3,25.6,88.1,T,0
J4,33.5,88.1,T,0
J5,46.8,88.1,T,0
J6,129.3,83,T,180
J7,105,78.1,T,90
J8,140.6,35.7,T,270
J9,35.9,17.7,T,180
J10,15.4,7.6,T,180
L1,89.5,5.3,T,0
L2,110.5,5.3,T,0
L3,131.4,5.3,T,0
MH1,3.2,86.8,T,0
MH2,91.5,86.8,T,0
MH3,146.8,86.8,T,0
MH4,3.2,80.5,T,0
MH5,146.8,80.5,T,0
MH6,3.2,9.5,T,0
MH7,146.8,9.5,T,0
MH8,3.2,3.2,T,0
MH9,75,3.2,T,0
MH10,146.8,3.2,T,0
Q1,106.9,63.1,T,0
Q2,115.9,63.1,T,0
Q3,125.7,63.1,T,0
Q4,67.2,57.3,T,0
Q5,47.7,21.9,T,180
R1,57.4,85.2,T,90
R2,59,85.2,T,90
R3,60.6,85.2,T,90
R4,8.4,70.3,T,270
R5,65.1,68.7,T,270
R6,65.1,66.7,T,90
R7,99.4,63.1,T,270
R8,67.2,59.8,T,270
R9,106.3,58.2,T,90
R10,108.8,58.2,T,90
R11,115.2,58.2,T,90
R12,117.8,58.2,T,90
R13,125,58.2,T,90
R14,127.6,58.2,T,90
R15,104.3,54.3,T,0
R16,75.9,54.1,T,180
R17,57.1,52.4,T,0
R18,52.9,51.9,T,90
R19,54.1,51.9,T,90
R20,114.4,51.6,T,90
R21,115.6,51.6,T,90
R22,57.1,51.2,T,0
R23,99.7,48.2,T,270
R24,100.9,48.2,T,90
R25,103.5,48.2,T,270
R26,104.7,48.2,T,90
R27,107.3,48.2,T,270
R28,108.5,48.2,T,90
R29,57.1,47.1,T,180
R30,100.9,46.1,T,90
R31,102.1,46.1,T,270
R32,104.7,46.1,T,90
R33,105.9,46.1,T,270
R34,108.5,46.1,T,90
R35,109.7,46.1,T,270
R36,113.6,39.2,T,270
R37,117.8,39.2,T,90
R38,119.2,39.2,T,270
R39,120.6,39.2,T,270
R40,71.5,38.6,T,270
R41,113.6,37.1,T,270
R42,116.4,37.1,T,270
R43,117.8,37.1,T,90
R44,119.2,37.1,T,270
R45,120.6,37.1,T,270
R46,71.5,36.6,T,270
R47,68.9,36.5,T,90
R48,65.1,33.3,T,90
R49,68.9,33.3,T,90
R50,70.2,33.3,T,270
R51,111.1,33.3,T,270
R52,107.1,26.1,T,270
R53,108.3,26.1,T,270
R54,47.7,18.9,T,90
R55,85.8,13.6,T,270
R56,93.2,13.6,T,270
R57,106.8,13.6,T,270
R58,114.2,13.6,T,270
R59,127.7,13.6,T,270
R60,135.1,13.6,T,270
R61,85.8,11.6,T,90
