Designator,Mid X,Mid Y,Layer,Rotation
C1,61.3,95.8,T,0
C2,76.6,93.3,T,180
C3,84.2,93.3,T,180
C4,39.2,41,T,90
C5,38.3,87.8,T,90
C6,23.6,86.5,T,180
C7,43,82.1,T,0
C8,76.6,83.8,T,180
C9,84.2,83.8,T,180
C10,51.8,71.5,T,180
C11,34.4,85.7,T,90
C12,28.4,75.5,T,180
C13,35.6,85.7,T,90
C14,43.8,68.7,T,270
C15,37.1,87.8,T,90
C16,84.2,74.1,T,180
C17,74.5,73.3,T,0
C18,36.3,69.6,T,90
C19,38,69.6,T,90
C20,68.8,59.9,T,90
C21,67.6,50.3,T,0
C22,41,45,T,180
C23,67.5,33,T,0
C24,31.2,28.8,T,90
C25,7.4,27.8,T,90
C26,16.1,27.8,T,90
C27,21.4,27.7,T,90
C28,23.5,27.7,T,90
C29,25.6,27.7,T,90
C30,27.7,27.7,T,90
C31,32.4,26.7,T,90
C32,7.4,23.2208,T,90
C33,16.1,23.2208,T,90
C34,42.7,23,T,270
C35,45.2,23,T,270
C36,40.8,21.5,T,270
C37,67.4,15.8,T,0
CN1,97.5,40.1,T,90
D1,9.8,96.9,T,270
D2,71,94.5,T,0
D3,71,92,T,0
D4,26.8,96.9,T,270
D5,29.2,96.9,T,90
D6,71,85,T,0
D7,71,82.5,T,0
D8,71,74.5,T,0
D9,62.1,50.3,T,180
D10,62.1,48.2,T,0
D11,62.1,43.8,T,0
D12,62,33,T,180
D13,62,30.9,T,0
D14,62,26.5,T,0
D15,45.2,29.1,T,270
D16,37.1,21.3,T,180
D17,61.9,15.8,T,180
D18,61.9,13.7,T,0
D19,61.9,9.3,T,0
DC1,14.182,8.1203,T,90
F1,47.7,23,T,90
J1,38.9,96.4,T,180
J2,86.1,28.0146,T,0
J3,28.2,9.6,T,180
JP1,56.8,86.3678,T,270
JP2,56.8,95.8,T,270
JP3,66.3,95.8,T,270
JP4,79.6,95.8,T,270
JP5,87.3,95.8,T,270
JP6,66.3,86.3678,T,270
JP7,79.6,86.3678,T,270
JP8,87.3,86.3678,T,270
JP9,66.3,76.7,T,270
JP10,87.3,76.7,T,270
JP11,65.1,37.1,T,180
JP12,65,19.8,T,180
JP13,64.9,2.6,T,180
L1,26.9,19.8,T,180
MH1,3.6,96.4,T,0
MH2,96.4,96.4,T,0
MH3,3.6,3.6,T,0
MH4,96.4,3.6,T,0
Q1,70.4532,45.9,T,270
Q2,70.3532,28.6,T,270
Q3,70.2532,11.4,T,270
R1,74.5,95.1,T,0
R2,61.3,94.6,T,180
R3,9.2,94.2,T,270
R4,10.4,94.2,T,270
R5,74.5,93.9,T,0
R6,61.3,93.4,T,0
R7,74.5,92.6,T,180
R8,61.3,92.2,T,180
R9,74.5,91.4,T,0
R10,61.3,91,T,180
R11,61.3,89.8,T,180
R12,14.9,89.3,T,270
R13,22.1,89.3,T,90
R14,28,94.2,T,90
R15,29.8,94.2,T,90
R16,40.4,41,T,270
R17,38.3,85.7,T,270
R18,26.8,94.2,T,90
R19,74.5,85.6,T,0
R20,23.6,85.2,T,180
R21,74.5,84.4,T,0
R22,23.6,84,T,180
R23,74.5,83.1,T,180
R24,45.9,77.5,T,180
R25,74.5,81.9,T,0
R26,45.9,76.3,T,0
R27,47.9,74.6,T,0
R28,28.4,76.8,T,0
R29,45.9,83.3,T,0
R30,47.9,79.3,T,180
R31,51.8,70.3,T,0
R32,45.9,79.3,T,180
R33,45.9,82.1,T,180
R34,47.9,77.5,T,180
R35,45.9,72,T,0
R36,51.8,69.1,T,180
R37,47.9,80.7,T,180
R38,38.3,89.9,T,270
R39,45.9,73.2,T,180
R40,47.9,82.1,T,180
R41,45.3,67.6,T,90
R42,46.5,67.6,T,90
R43,45.9,74.6,T,0
R44,45.9,80.7,T,180
R45,33.2,85.7,T,270
R46,74.5,75.7,T,0
R47,45.3,69.6,T,90
R48,47.9,73.2,T,180
R49,74.5,74.5,T,180
R50,33.2,87.8,T,270
R51,35.6,87.8,T,270
