Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"SV","OffPage","04 GATE","4","MAIN","JP7.3","1480","900","1A","{3}"
"SV","OffPage","03 MM32SPIN27PF","3","MAIN","R46.2,R47.1,U8.30","1290","170","2D","{4}"
"U_S_IN","OffPage","04 GATE","4","MAIN","JP7.2","1480","890","1A","{3}"
"U_S_IN","OffPage","03 MM32SPIN27PF","3","MAIN","R39.2","1110","330","2C","{4}"
"PB7/TIM_CH1","OffPage","04 GATE","4","MAIN","R120.1,U9.1","170","110","5D","{3}"
"PB7/TIM_CH1","OffPage","03 MM32SPIN27PF","3","MAIN","U8.43","510","60","4D","{4}"
"BEMF_O","OffPage","04 GATE","4","MAIN","JP8.2","1480","810","1B","{3}"
"BEMF_O","OffPage","03 MM32SPIN27PF","3","MAIN","R30.2,U8.20","1110","90","2D","{4}"
"IR_U","OffPage","04 GATE","4","MAIN","JP5.1,Q1.3,R57.2,R59.1","640","230","4D","{3}"
"IR_U","OffPage","03 MM32SPIN27PF","3","MAIN","R41.1","840","400","3C","{4}"
"IR_V","OffPage","04 GATE","4","MAIN","JP4.1,Q2.3,R63.1,R64.2","640","480","4C","{3}"
"IR_V","OffPage","03 MM32SPIN27PF","3","MAIN","R32.1","840","100","3D","{4}"
"IR_W","OffPage","04 GATE","4","MAIN","JP3.1,Q3.3,R68.1,R69.2","640","720","4B","{3}"
"IR_W","OffPage","03 MM32SPIN27PF","3","MAIN","R36.1","840","250","3D","{4}"
"IR_SUM","OffPage","04 GATE","4","MAIN","JP3.2,JP4.2,JP5.2,R57.1,R64.1,R69.1,R70.2","640","780","4B","{3}"
"IR_SUM","OffPage","03 MM32SPIN27PF","3","MAIN","R44.1","1290","90","2D","{4}"
"PA0/BEMF_U","OffPage","04 GATE","4","MAIN","C92.1,JP11.2","1500","340","1C","{3}"
"PA0/BEMF_U","OffPage","03 MM32SPIN27PF","3","MAIN","U8.10","160","290","5C","{4}"
"PA1/BEMF_V","OffPage","04 GATE","4","MAIN","C94.1,JP10.2","1500","530","1C","{3}"
"PA1/BEMF_V","OffPage","03 MM32SPIN27PF","3","MAIN","U8.11","160","300","5C","{4}"
"PA2/BEMF_W","OffPage","04 GATE","4","MAIN","C96.1,JP9.2","1500","710","1B","{3}"
"PA2/BEMF_W","OffPage","03 MM32SPIN27PF","3","MAIN","U8.12","160","310","5C","{4}"
"PA15/TIM_CH3N","OffPage","04 GATE","4","MAIN","R115.1,U9.6","170","160","5D","{3}"
"PA15/TIM_CH3N","OffPage","03 MM32SPIN27PF","3","MAIN","U8.38","510","110","4D","{4}"
"PB3/TIM_CH3","OffPage","04 GATE","4","MAIN","R118.1,U9.3","170","130","5D","{3}"
"PB3/TIM_CH3","OffPage","03 MM32SPIN27PF","3","MAIN","U8.39","510","100","4D","{4}"
"PB4/TIM_CH2N","OffPage","04 GATE","4","MAIN","R116.1,U9.5","170","150","5D","{3}"
"PB4/TIM_CH2N","OffPage","03 MM32SPIN27PF","3","MAIN","U8.40","510","90","4D","{4}"
"PB5/TIM_CH2","OffPage","04 GATE","4","MAIN","R119.1,U9.2","170","120","5D","{3}"
"PB5/TIM_CH2","OffPage","03 MM32SPIN27PF","3","MAIN","U8.41","510","80","4D","{4}"
"PB6/TIM_CH1N","OffPage","04 GATE","4","MAIN","R117.1,U9.4","170","140","5D","{3}"
"PB6/TIM_CH1N","OffPage","03 MM32SPIN27PF","3","MAIN","U8.42","510","70","4D","{4}"
"VV","OffPage","04 GATE","4","MAIN","JP8.3","1480","820","1B","Property Not Present"
"UV","OffPage","04 GATE","4","MAIN","JP7.1","1480","880","1A","Property Not Present"
