Designator,Mid X,Mid Y,Layer,Rotation
C1,59.5,28.1,T,0
C2,57.4,26.8,T,180
C3,59.1,32.3,T,0
C4,49,31.4,T,0
C5,33.8,29.9,T,180
C6,38.5,35.3,T,90
C7,33.8,25,T,180
C8,42.2,19.9,T,270
C9,26.6,13,T,180
C10,23.1,9.5,T,0
C11,32.4,17.6,T,270
C12,42.2,7.3,T,180
C13,37.3,6.9,T,270
C14,34.8,6.9,T,270
C15,46.7,10.7,T,270
C16,50.8,3.5,T,270
C17,49.2,3.5,T,270
C18,47.6,3.5,T,270
C19,46,3.5,T,270
C20,27.7,40.6,T,180
C21,43.8,19.9,T,270
D1,56.7,30.884,T,0
D2,30.6,52,T,270
D3,15,3.9,T,0
D4,15.6,52,T,270
D5,36.1,3.1,T,180
DC1,8,26.7,T,0
F1,15,6.7,T,0
J1,77.6,27.5,T,90
J2,9.5,39,T,90
J3,40.1,45.8,T,180
L1,42.2,4.3,T,0
MH1,3.6,3.6,T,0
MH2,81.4,3.6,T,0
MH3,81.4,50.4,T,0
MH4,3.6,50.4,T,0
R1,33.8,27.4,T,0
R2,59.5,29.5,T,0
R3,59.4978,24.2,T,0
R4,59.5,22.9,T,0
R5,59.5,25.5,T,180
R6,59.4978,30.884,T,0
R7,59.5,26.8,T,0
R8,62.9,20.2,T,0
R9,62.9,35,T,0
R10,42.2,17.8,T,90
R11,31.2,49.3,T,90
R12,22.5,7.7,T,270
R13,23.7,7.7,T,270
R14,30,49.3,T,90
R15,23.1,4.4,T,180
R16,30,17.6,T,270
R17,31.2,17.6,T,90
R18,37.8,12.8,T,90
R19,37.8,10.7,T,90
R20,45.4,12.8,T,270
R21,16.2,49.3,T,270
R22,15,49.3,T,270
R23,25.5,42.8,T,90
R24,45.4,10.7,T,270
R25,27.7,39.2,T,180
R26,19.2,42.8,T,270
R27,27.7,37.8,T,180
RP1,52.2,45.8,T,0
SW1,72.7,52.6,T,0
SW2,3.2,14.2,T,90
SW3,62.7,52.6,T,0
TP1,33.9,22,T,0
TP2,33.9,19.8,T,0
TP3,50.8,6.2,T,0
U1,41.6032,28.1685,T,0
U2,66.5,27.6,T,0
U3,23.1,12,T,270
U4,31.4,20.9,T,0
U5,42.2,9.7,T,90
U6,22.4032,39.2,T,270
U7,22.4,42.8,T,90
USB1,22.9,46.7,T,180
X1,39.3,19.9,T,0
