Designator,Mid X,Mid Y,Layer,Rotation
C1,10.1,52.4,T,180
C2,44.3,50.1,T,90
C3,52.2,50.1,T,90
C4,33.5,48.8,T,90
C5,35.1,48.8,T,90
C6,36.5,48.8,T,90
C7,37.7,48.8,T,90
C8,29.0372,46.1,T,270
C9,46.9,43.6,T,180
C10,29.0372,42.9,T,90
C11,43.8,42.3,T,0
C12,29.0372,39.7,T,270
C13,29.0372,36.5,T,90
C14,34.6,34,T,270
C15,35.9,33.6,T,90
C16,33.1,33.2,T,90
C17,44.3,28.2,T,90
C18,52.2,28.2,T,90
C19,33.5,26.7,T,90
C20,35.1,26.7,T,90
C21,36.5,26.7,T,90
C22,37.7,26.7,T,90
C23,29.0372,24,T,270
C24,46.9,21.5,T,180
C25,29.0372,20.8,T,90
C26,43.8,20.2,T,0
C27,29.0372,17.6,T,270
C28,29.0372,14.4,T,90
C29,34.6,11.9,T,270
C30,35.9,11.5,T,90
C31,33.1,11.1,T,90
C32,10.1,8.3,T,180
D1,40.7,51.7,T,270
D2,42.1,51.7,T,270
D3,97.7,50.6,T,270
D4,79.6,43,T,270
D5,40.7,29.6,T,270
D6,42.1,29.6,T,270
DC1,92,43.1,T,180
F1,82.5,43,T,270
J1,51.3,57.27,T,180
J2,65.2,51.5,T,0
J3,7.6,41.3,T,270
J4,7.6,19.2,T,270
J5,51.3,6.27,T,180
L1,38.5,51.7,T,90
L2,44.3,46.7,T,270
L3,38.5,29.6,T,90
L4,44.3,24.8,T,270
MH1,3.6,57.4,T,0
MH2,96.4,57.4,T,0
MH3,3.6,3.6,T,0
MH4,96.4,3.6,T,0
Q1,18.2,48.6,T,90
Q2,18.2,43.2,T,90
Q3,18.2,37.8,T,90
Q4,18.2,32.4,T,90
Q5,18.2,26.5,T,90
Q6,18.2,21.1,T,90
Q7,18.2,15.7,T,90
Q8,18.2,10.3,T,90
R1,45.7,51.6,T,90
R2,96.3,50.6,T,90
R3,23.1,50.5,T,180
R4,29.4,50.3,T,180
R5,45.7,49.6,T,90
R6,29.4,49.1,T,180
R7,39.4,48.8,T,90
R8,40.7,48.8,T,270
R9,42.1,48.8,T,270
R10,23.1,48,T,180
R11,26.2,47.5,T,270
R12,52.5,46.1,T,180
R13,23.1,45.1495,T,180
R14,52.5,44.9,T,180
R15,43.4,43.6,T,180
R16,23.1,42.6,T,180
R17,52.5,42.2,T,180
R18,50.3,41,T,180
R19,52.5,39.8,T,180
R20,23.1,39.7,T,180
R21,50.3,38.6,T,180
R22,52.5,37.4,T,180
R23,23.1,37.2,T,180
R24,50.3,36.2,T,180
R25,52.5,35,T,180
R26,26.2,34.7,T,90
R27,23.1,34.3,T,180
R28,50.3,33.8,T,180
R29,29.4,33.1,T,180
R30,52.5,32.6,T,180
R31,29.4,31.9,T,180
R32,23.1,31.8,T,180
R33,45.7,29.8,T,90
R34,23.1,28.4,T,180
R35,29.4,28.2,T,180
R36,45.7,27.8,T,90
R37,29.4,27,T,180
R38,39.4,26.7,T,90
R39,40.7,26.7,T,270
R40,42.1,26.7,T,270
R41,23.1,25.9,T,180
R42,26.2,25.4,T,270
R43,52.5,24.1,T,180
R44,23.1,23.0495,T,180
R45,52.5,22.9,T,180
R46,43.4,21.5,T,180
R47,23.1,20.5,T,180
R48,52.5037,20.2,T,180
R49,50.3,19,T,180
R50,52.5037,17.8,T,180
R51,23.1,17.6,T,180
R52,50.3,16.6,T,180
R53,52.5037,15.4,T,180
R54,23.1,15.1,T,180
R55,50.3,14.2,T,180
R56,52.5037,13,T,180
R57,26.2,12.6,T,90
R58,23.1,12.2,T,180
R59,50.3,11.8,T,180
R60,29.4,11,T,180
R61,52.5037,10.6,T,180
R62,29.4,9.8,T,180
R63,23.1,9.7,T,180
TP1,46,47.8,T,0
TP2,46,25.9,T,0
U1,48.7,50.1,T,90
U2,48.7,45.8,T,90
U3,36.2,41.3,T,0
U4,48.7,28.2,T,90
U5,48.7,23.8,T,90
U6,36.2,19.2,T,0
